"datum","zaehlstelle","uhrzeit_start","uhrzeit_ende","richtung_1","richtung_2","gesamt","min.temp","max.temp","niederschlag","bewoelkung","sonnenstunden","kommentar"
2014-01-01,"Arnulf","00:00","23:59",261,20,281,-5.6,1.8,0,85,1.6,NA
2014-01-02,"Arnulf","00:00","23:59",825,62,887,-3.9,5.9,0,78,0,NA
2014-01-03,"Arnulf","00:00","23:59",907,62,969,-4,8,0,75,1.8,NA
2014-01-04,"Arnulf","00:00","23:59",497,29,526,1,5.9,3,98,0,NA
2014-01-05,"Arnulf","00:00","23:59",320,27,347,-0.6,5.9,1.2,94,0.2,NA
2014-01-06,"Arnulf","00:00","23:59",613,28,641,-4.2,8.2,0,45,6.9,NA
2014-01-07,"Arnulf","00:00","23:59",1728,76,1804,-0.4,14.1,0.8,58,0,NA
2014-01-08,"Arnulf","00:00","23:59",1753,85,1838,-0.4,14.5,0,66,4.9,NA
2014-01-09,"Arnulf","00:00","23:59",1819,75,1894,-2.2,14.5,5.5,83,2,NA
2014-01-10,"Arnulf","00:00","23:59",1400,67,1467,-2.5,7.4,0,66,3.8,NA
2014-01-11,"Arnulf","00:00","23:59",708,29,737,-4,7.6,1.1,80,1.3,NA
2014-01-12,"Arnulf","00:00","23:59",616,28,644,-4.6,6.2,0,65,4.7,NA
2014-01-13,"Arnulf","00:00","23:59",1586,73,1659,-6.6,3.1,0.3,75,2.2,NA
2014-01-14,"Arnulf","00:00","23:59",877,46,923,-0.2,2.4,9.1,99,0,NA
2014-01-15,"Arnulf","00:00","23:59",1286,60,1346,-0.5,4.2,0,71,4.3,NA
2014-01-16,"Arnulf","00:00","23:59",1589,56,1645,-0.7,6,0,94,0.3,NA
2014-01-17,"Arnulf","00:00","23:59",1019,52,1071,1.9,5.9,5,98,0,NA
2014-01-18,"Arnulf","00:00","23:59",691,19,710,0.3,3.1,0,100,0,NA
2014-01-19,"Arnulf","00:00","23:59",608,47,655,1,2.8,0,99,0,NA
2014-01-20,"Arnulf","00:00","23:59",1337,62,1399,0.7,3.3,2.7,100,0,NA
2014-01-21,"Arnulf","00:00","23:59",801,44,845,0.6,3.3,3.3,99,0,NA
2014-01-22,"Arnulf","00:00","23:59",1323,60,1383,1.8,4.4,0,98,0,NA
2014-01-23,"Arnulf","00:00","23:59",1404,68,1472,-1,6,2.8,90,2,NA
2014-01-24,"Arnulf","00:00","23:59",935,53,988,0.6,4,1,96,0,NA
2014-01-25,"Arnulf","00:00","23:59",653,29,682,-0.2,3.3,3.3,96,0.2,NA
2014-01-26,"Arnulf","00:00","23:59",270,43,313,-0.3,2.4,6.1,91,0,NA
2014-01-27,"Arnulf","00:00","23:59",837,60,897,-2.1,3,0.6,90,0.2,NA
2014-01-28,"Arnulf","00:00","23:59",1269,83,1352,-6,-0.4,0,88,0,NA
2014-01-29,"Arnulf","00:00","23:59",1289,72,1361,-3.1,-0.7,0,100,0,NA
2014-01-30,"Arnulf","00:00","23:59",1295,59,1354,-3.9,-0.4,0,96,0,NA
2014-01-31,"Arnulf","00:00","23:59",1166,65,1231,-5.3,1.8,0,68,2.1,NA
2014-02-01,"Arnulf","00:00","23:59",768,33,801,-6.6,4.7,0,53,6,NA
2014-02-02,"Arnulf","00:00","23:59",338,28,366,-3.4,2.4,4,96,0,NA
2014-02-03,"Arnulf","00:00","23:59",1117,60,1177,-0.5,0.7,0,100,0,NA
2014-02-04,"Arnulf","00:00","23:59",1367,52,1419,-0.8,1.2,0,100,0,NA
2014-02-05,"Arnulf","00:00","23:59",1380,71,1451,-1.8,3.9,0,99,0,NA
2014-02-06,"Arnulf","00:00","23:59",1615,85,1700,1.8,10.5,0,49,8.9,NA
2014-02-07,"Arnulf","00:00","23:59",1294,76,1370,-1.2,13,0,74,2.8,NA
2014-02-08,"Arnulf","00:00","23:59",1047,39,1086,-1.8,10.6,0.1,76,6.1,NA
2014-02-09,"Arnulf","00:00","23:59",469,36,505,-2.1,6.9,0.5,74,0.1,NA
2014-02-10,"Arnulf","00:00","23:59",1414,77,1491,-4.5,9.5,0.2,73,0,NA
2014-02-11,"Arnulf","00:00","23:59",1471,88,1559,-3.6,8,0,59,3.5,NA
